SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
370150,Adidas Tour 36 XT PrimeKnit Shoe,,,
370151,Adidas Codechaos Sport Shoe,,,
370152,Adidas Codechaos Shoe,,,
371401,Ecco Cool Pro,,,
371402,Ecco Biom Hybrid 3,,,
371408,Ecco Golf S-Three,,,
371752,FJ Contour Series Shoe,,,
371753,FJ Pro SL Carbon Shoe,,,
371770,FJ Tour X Shoe,,,
371771,FJ Flex XP Shoe,,,
371773,FJ Contour Casual,,,
372908,G/Fore Camo Gallivanter,,,
372909,G/Fore MG4.1,,,
373501,Nike Roshe,,,
373503,Nike Roshe G Tour Shoe,,,
373513,Nike AirMax 1 G,,,
377803,Puma Ignite NXT Disc,,,
471400,Ecco 100543 Biom Hybrid,,,
471404,Ecco 102903 S-Three,,,
471410,Ecco Biom Hybrid 3,,,
471751,FJ Sandal,,,
471752,FJ Sport Retro Shoe,,,
471755,FJ Leisure Spikeless,,,
471758,FJ Flex Spikeless Shoe,,,
473503,Nike Air Max 1 Golf Shoe,,,
473504,Nike Cortez Golf Shoe,,,
473505,Nike Wmns Roshe Golf Shoe,,,
477801,Puma Monolite Cat Shoe,,,
477805,Puma Laguna Sport Shoe,,,
481750,FootJoy Ladies Weather Sof,,,
481774,FootJoy Sta Cooler Glove,,,
21600,Champion JR Eco Fleece Hoodie,,,
21900,LiL Ruche Tier Skort,,,
21901,LiL Pleats Please Skort,,,
21902,LiL Ruche Tank,,,
22750,UnderArmour Boys Tour Cap,,,
22760,UnderArmour Showdown Pant JR,,,
22761,UnderArmour Playoff Polo JR,,,
22764,UnderArmour Webbing Belt JR,,,
22765,UnderArmour Storm Woven 1/2 Zip JR,,,
22766,UnderArmour Showdown Short JR,,,
22768,UnderArmour Performance Polo 2.0 JR,,,
23502,Nike Boys FLX Pant,,,
23503,Nike Cap Core,,,
23504,Nike Boys Stripe Victory Polo,,,
23505,Nike Boys FLX Short,,,
23507,Nike Roshe JR Shoe,,,
23510,Nike Boys Victory Polo,,,
23513,Nike Girls LS Pullover,,,
23517,Nike Boys Thermal Cover-Up,,,
23518,Nike Boys Sport Print Polo,,,
23525,Nike Girls SS Victory Polo,,,
23529,Nike Girls Printed Skort,,,
23530,Nike Girls Dri-Fit Skirt,,,
25100,Taylormade Junior Hat,,,
25200,Titleist JR Rope Hat,,,
27803,Puma JR Links Polo,,,
27804,Puma JR P Cap,,,
27805,Puma JR Full Zip Jacket,,,
27809,Puma Boys 5 Pocket Pant,,,
27810,Puma JR Taylor Polo,,,
27811,Puma JR Slow Play Polo,,,
27814,Puma JR Road Map Polo,,,
27828,Puma JR Utility Patch Cap,,,
27829,Puma Girls Heather Polo,,,
